arquivo,doc_id,frase_id,frase,substantivos/nomes_próprios,entidades_nomeadas
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,1,Informações relacionadas [Modelo] Notificação para rescisão do contrato de locação de imóvel ModelosData de publicação:,"['informação', 'modelo', 'notificação', 'rescisão', 'contrato', 'locação', 'imóvel', 'modelosdata', 'publicação']","['Modelo] Notificação', 'ModelosData']"
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,2,26/11/2019Pensador Jurídico ❗ATENÇÃO❗,"['26/11/2019pensador', '❗', '❗']",['Jurídico ❗ATENÇÃO❗']
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,3,"Documento apto para o locador ou locatário comunicar sua intenção de reaver o imóvel ou desocupá-lo, respectivamente.","['documento', 'locador', 'locatário', 'intenção', 'imóvel']",[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,4,"A comunicação desta vontade é chamada de “denúncia” do contrato, a Notificação de 30 dias para rescisão do contrato de locação ArtigosData de publicação: 15/01/2016Cristina","['comunicação', 'vontade', 'denúncia', 'contrato', 'notificação', 'dia', 'rescisão', 'contrato', 'locação', 'artigosdata', 'publicação']","['Notificação de 30 dias', 'ArtigosData']"
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,5,Nascimento,['nascimento'],['Nascimento']
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,6,"A lei do inquilinato prevê que tendo vencido o prazo do contrato de locação, tanto o locador como o locatário pode pedir a rescisão.","['lei', 'inquilinato', 'prazo', 'contrato', 'locação', 'locador', 'locatário', 'rescisão']",[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,7,"Porém, a lei impõe ao interessado, obrigação de notificar a outra Modelo de notificação extrajudicial para rescisão contrato prestação de serviços","['lei', 'interessado', 'obrigação', 'modelo', 'notificação', 'rescisão', 'contrato', 'prestação', 'serviço']",['Modelo']
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,8,ModelosData de publicação: 31/01/2022Rodrigo Saggioro NOTIFICAÇÃO Ref,"['modelosdata', 'publicação', 'saggioro', 'notificação', 'ref']","['ModelosData', 'Saggioro NOTIFICAÇÃO Ref']"
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,9,.,[],[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,10,": “Contrato de prestação de serviço”, datado e assinado em __","['contrato', 'prestação', 'serviço', '_', '_']",['Contrato']
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,11,_/___/,"['_', '/___/']",[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,12,_,['_'],[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,13,_,['_'],[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,14,_,[],[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,15,__.,[],[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,16,NOTIFICADO,['notificado'],[]
noticias_4-procedimentos-para-o-encerramento-do-contrato-de-locacao_846702826.txt,1,17,"Endereço: Endereço completo Razão social , pessoa jurídica de direito privado, inscrita no CNPJ","['endereço', 'endereço', 'razão', 'pessoa', 'direito', 'cnpj']","['Endereço completo Razão social', 'CNPJ']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,1,URL: https://www.jusbrasil.com.br/noticias/a-arroba-do-boi-e-os-contrato-agrarios/1100676840 Título:,"['url', 'https://www.jusbrasil.com.br/noticias/a-arroba-do-boi-e-os-contrato-agrarios/1100676840', 'título']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,2,A arroba do boi e os Contrato Agrários Data: Data não encontrada Autor:,"['arroba', 'boi', 'contrato', 'agrários', 'data', 'data', 'autor']","['Contrato Agrários Data: Data', 'Autor:']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,3,"Autor não encontrado --- CONTEÚDO --- Há alguns dias revisei um Contrato de Parceria Pecuária que está chegando ao fim, ""chutem"" qual estava sendo o ponto de divergência entre os Parceiros?","['autor', 'dia', 'contrato', 'parceria', 'pecuária', 'chutem', 'divergência', 'parceiros']","['CONTEÚDO', 'Contrato de Parceria Pecuária', 'Parceiros?']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,4,"As @rrobas estipuladas, ou melhor, mal estipuladas em contrato.","['@rroba', 'contrato']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,5,"É claro que não nos cabe colocar preço nos produtos dos nossos clientes, QUE FIQUE BEM CLARO, contudo, para que a redação dos Contratos seja eficaz do início ao fim da relação, sem dar margens a interpretações diferentes, SIM, precisamos saber não apenas quanto vale a @rroba do boi, mas compreender as cotações, as diferenças entre as cotações do boi gordo, da vaca, do novilho, acompanhar as tendências de altas e baixas, e assim por diante...","['preço', 'produto', 'cliente', 'fique', 'redação', 'contrato', 'início', 'margem', 'interpretação', '@rroba', 'boi', 'cotação', 'diferença', 'cotação', 'boi', 'vaca', 'novilho', 'tendência']","['FIQUE BEM CLARO', 'Contratos', '@rroba do boi']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,6,"Entendi Andréia, mas afinal de contas, quanto vale a @arroba?","['andréia', 'conta', '@arroba']","['Andréia', '@arroba?']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,7,"1 @arroba equivale, EXATAMENTE, a 14,7 Kg.","['@arroba', 'exatamente', 'kg']","['@arroba', 'EXATAMENTE', 'Kg']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,8,"(aceitem sem contestar, caso contrário teremos que fazer uma retrospectiva ao império romana para justiçar esse valor), CONTUDO, NA PRÁTICA arredondamos para 15 Kg, OU SEJA: 1@ = 15 Kg","['caso', 'retrospectiva', 'império', 'prática', 'kg', 'seja', 'kg']","['CONTUDO', 'NA PRÁTICA', 'Kg', 'OU SEJA']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,9,Então para saber quantas @rrobas tem um boi é só multiplicar o peso dele por 15?,"['@rroba', 'boi', 'peso']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,10,Não!,[],[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,11,"No meio desse cálculo precisamos saber qual o percentual de RENDIMENTO DE CARCAÇA*, pois o animal não é aproveitado 100%.","['cálculo', 'percentual', 'rendimento', 'carcaça', 'animal']",['RENDIMENTO DE CARCAÇA*']
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,12,"*CARCAÇA = animal abatido sem cabeça, rabo, mocotó, patas, chifres, vísceras, couro...","['carcaça', 'cabeça', 'rabo', 'pata', 'chifr', 'víscero', 'couro']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,13,POR,[],[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,14,EXEMPLO: Peso boi vivo 300 kg,"['peso', 'boi', 'kg']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,15,Peso carcaça 150 Kg Compreenderam?,"['peso', 'carcaça', 'kg']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,16,"Andréia, preciso MESSSMO saber de tudo isso para elaborar um contrato?","['andréia', 'messsmo', 'contrato']",['MESSSMO']
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,17,"Senhores, se quiserem elaborar um CONTRATO DE EXCELÊNCIA, SIM, PRECISAM!","['contrato', 'excelência']","['Senhores', 'CONTRATO', 'PRECISAM']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,18,Não existe serviço de excelência com conhecimento superficial.,"['serviço', 'excelência', 'conhecimento']",[]
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,19,Consegui ajudá-los?,[],['Consegui']
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,20,Andréia Ribeiro.,"['andréia', 'ribeiro']",['Andréia Ribeiro']
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,21,Outras redes sociais: Canal do YOUTUBE: Adv.,"['rede', 'canal', 'youtube', 'adv']","['Canal', 'YOUTUBE', 'Adv']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,22,Andréia Ribeiro; INSTAGRAM: @DireitoEmMovimento.,"['andréia', 'ribeiro', 'instagram', '@direitoemmovimento']","['Andréia Ribeiro', 'INSTAGRAM']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,23,AR; FACEBOOK: Direito,"['ar', 'facebook', 'direito']","['FACEBOOK', 'Direito']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,24,Em Movimento; LINKEDIN: Andréia Ribeiro;,"['movimento', 'linkedin', 'andréia', 'ribeiro']","['LINKEDIN', 'Andréia Ribeiro']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,25,SITE www.DireitoEmMovimento.com >E-BOOKS GRÁTIS <,"['site', 'www.direitoemmovimento.com', 'e-books', 'grátis']","['SITE', 'E-BOOKS GRÁTIS <']"
noticias_a-arroba-do-boi-e-os-contrato-agrarios_1100676840.txt,2,26,"E, é claro, aqui no JUSBRASIL: Andréia Ribeiro +Conhecimento-Aborrecimento!","['jusbrasil', 'andréia', 'ribeiro', '+', 'conhecimento-aborrecimento']","['JUSBRASIL', 'Andréia Ribeiro', 'Conhecimento-Aborrecimento!']"
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,1,Informações relacionadas,['informação'],[]
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,2,Tribunal de Justiça de Minas Gerais TJ-MG - Apelação Cível: AC XXXXX-13.2019.8.13.0024 MG JurisprudênciaAcórdãoData de publicação: 04/02/2021Tribunal de Justiça de Minas Gerais EMENTA: APELAÇÃO,"['tribunal', 'justiça', 'minas', 'gerais', 'tj-mg', 'apelação', 'ac', 'xxxxx-13.2019.8.13.0024', 'mg', 'jurisprudênciaacórdãodata', 'publicação', 'justiça', 'minas', 'gerais', 'ementa', 'apelação']","['Tribunal de Justiça de Minas Gerais TJ-MG', 'Apelação Cível', 'AC XXXXX-13.2019.8.13.0024 MG', 'JurisprudênciaAcórdãoData', 'Justiça de Minas Gerais', 'APELAÇÃO']"
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,3,CÍVEL - EXECUÇÃO - CONTRATO PARTICULAR DESPROVIDO DA ASSINATURA DE DUAS TESTEMUNHAS - DOCUMENTO INÁBIL PARA EMBASAR,"['cível', 'execução', 'contrato', 'particular', 'desprovido', 'assinatura', 'testemunhas', 'documento', 'inábil', 'embasar']",['EXECUÇÃO - CONTRATO PARTICULAR DESPROVIDO DA ASSINATURA DE DUAS TESTEMUNHAS - DOCUMENTO INÁBIL PARA EMBASAR']
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,4,A EXECUÇÃO - EXTINÇÃO.,"['execução', 'extinção']",['EXECUÇÃO - EXTINÇÃO']
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,5,"A ausência de assinatura das duas testemunhas no contrato particular impede que o documento seja considerado título executivo extrajudicial, por se tratar de requisito formal, conforme disposto no art. 784, III, do CPC.","['ausência', 'assinatura', 'testemunha', 'contrato', 'documento', 'título', 'requisito', 'art.', 'cpc']",['CPC']
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,6,Por que o contrato escrito e a assinatura de testemunhas são importantes?,"['contrato', 'assinatura', 'testemunha']",[]
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,7,ArtigosData de publicação:,"['artigosdata', 'publicação']",['ArtigosData']
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,8,08/11/202499Contratos Um contrato é mais do que um simples papel: ele representa o acordo de vontades entre duas ou mais partes e define obrigações e direitos que impactam na vida das pessoas ou empresas envolvidas.,"['contrato', 'papel', 'acordo', 'vontade', 'parte', 'obrigação', 'direito', 'vida', 'pessoa', 'empresa']",[]
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,9,Esse Tribunal Regional do Trabalho da 6ª Região TRT-6 - Agravo de Petição: AP XXXXX-78.2019.5.06.0005 JurisprudênciaAcórdãoData de publicação: 22/11/2021Tribunal Regional do Trabalho da 6ª Região AGRAVO DE PETIÇÃO.,"['tribunal', 'regional', 'trabalho', 'região', 'trt-6', 'agravo', 'petição', 'ap', 'xxxxx-78.2019.5.06.0005', 'jurisprudênciaacórdãodata', 'publicação', '22/11/2021tribunal', 'regional', 'trabalho', 'região', 'agravo', 'petição']","['Tribunal Regional do Trabalho da 6ª Região TRT-6 - Agravo de Petição', 'AP XXXXX-78.2019.5.06.0005', 'Regional do Trabalho da 6ª Região AGRAVO DE PETIÇÃO']"
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,10,INADIMPLÊNCIA DO EXECUTADO PESSOA FÍSICA (EMPREGADOR DOMÉSTICO).,"['inadimplência', 'executado', 'pessoa', 'física', 'empregador', 'doméstico']","['DO EXECUTADO PESSOA FÍSICA', 'EMPREGADOR DOMÉSTICO']"
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,11,INSTAURAÇÃO DO INCIDENTE DE DESCONSIDERAÇÃO,"['instauração', 'incidente', 'desconsideração']",['INSTAURAÇÃO DO INCIDENTE DE DESCONSIDERAÇÃO']
noticias_a-assinatura-de-testemunhas-e-mesmo-necessaria-em-um-contrato_1946553817.txt,3,12,INVERSA,['inversa'],[]
